category	score	size_bytes	mtime	sha256	source_path	snapshot_path	development_markers
gacos	11	8653	2026-08-25T09:34:37.101975	75522e86c824a0d1f9e1a19fb8bed515217c5a26bd1c2919cb7c6bb725f1e5df	/home/ubuntu/software/pyPSDS-GAMMA-v1.0/pypsds/project.py	files/gacos/project__75522e86c8.py	
gacos	10	21259	2026-08-24T17:12:46.969358	72bf99005f8e74782c247a122332be4b8f55fb2d25b6644cc0a7a06382791e45	/tmp/p15_5c_scla_spatial_regularization.py	files/gacos/p15_5c_scla_spatial_regularization__72bf99005f.py	P15,p15_,smoke
gacos	10	14544	2026-08-25T09:40:37.313975	5dfd2b016dc6239a47e60c38a54b70a918b6e3ff7d299b2d532cbf61c76fec6f	/tmp/run_v11_migration_source_freeze.sh	files/gacos/run_v11_migration_source_freeze__5dfd2b016d.sh	P15,PASS_FINAL,PASS_POINT,PASS_STAMPS,p15_,prototype,smoke
gacos	5	7811	2026-08-24T16:14:27.061148	f3f0131084593e5381f0d1a3c2a214396dc6951b7597a185962b8733ab78e3b3	/tmp/p15_3e_gamma_truth.sh	files/gacos/p15_3e_gamma_truth__f3f0131084.sh	P15,p15_
gacos	4	1817	2026-08-15T12:32:12.114437	d8e98de10c6ffd377ba1f9c8fd594a69f0ce3e4c843ffb55db42abbbe2bf7fe0	/tmp/02b_fix_ztd_boundary.py	files/gacos/02b_fix_ztd_boundary__d8e98de10c.py	
gacos	4	1583	2026-08-15T13:07:05.050437	1f1355f5bd453c563e9a684a9977fcd8e73a3fe3454751acafb879bed23825e0	/tmp/03c_native_gacos_guard.py	files/gacos/03c_native_gacos_guard__1f1355f5bd.py	
gacos	4	1720	2026-08-12T11:54:20	e4eaf7c7d71458c891a5f1627de18c9839e189a526de701f8364152b9595f029	/tmp/prod_v65/pystamps_production_stage78_v6_5/run_production_stage78_v6_5.sh	files/gacos/run_production_stage78_v6_5__e4eaf7c7d7.sh	
gacos	3	2890	2026-08-25T09:23:20.689975	b027aa53baa9f0d5abb92b011f555c30a9c2d3362bf01d07a4a6ebbf7fa4236d	/home/ubuntu/software/pyPSDS-GAMMA-v1.0/tests/test_v11_public_config.py	files/gacos/test_v11_public_config__b027aa53ba.py	
gacos	3	4899	2026-08-25T09:34:37.045975	58a4866bc94fb44324495d417dbb4dda7e9aced66cdf1ff99d9679058240a35e	/tmp/fix_v11_projectpaths_backward_compat.sh	files/gacos/fix_v11_projectpaths_backward_compat__58a4866bc9.sh	
gacos	3	28637	2026-08-24T12:40:50.509740	7ce3663ee430246971424ebe1abd321e0178cf83b3b63ee5919ff9bf1245adfa	/tmp/p15_2_scla_residual_dem_audit.sh	files/gacos/p15_2_scla_residual_dem_audit__7ce3663ee4.sh	P15,p15_,prototype
